feature,importance
travel_spending_frequency,0.1538461538461538
такси_spending,0.10769230769230768
outflow_amount,0.10769230769230764
avg_daily_activity,0.07692307692307694
net_flow,0.0769230769230769
inflow_amount,0.0769230769230769
кафе_и_рестораны_spending,0.06153846153846154
total_transaction_count,0.06153846153846154
азс_spending,0.06153846153846151
total_transaction_amount,0.05256410256410256
travel_spending_avg,0.04615384615384617
travel_spending_count,0.04615384615384615
travel_spending_total,0.04615384615384614
avg_monthly_balance_KZT,0.011188811188811192
status_encoded,0.008974358974358988
weekend_activity_ratio,0.004195804195804194
travel_transfer_amount,3.91499698157292e-17
fx_transaction_count,3.836337455536724e-17
total_transfer_count,3.7779046647669787e-17
отели_spending,2.6407126597865565e-17
activity_days,2.3912495915003364e-17
travel_transfer_count,7.618736950362918e-18
age,7.618736950362916e-18
путешествия_spending,3.809368475181458e-18
total_transfer_amount,0.0
financial_activity_ratio,0.0
fx_amount,0.0
развлечения_spending,0.0
vacation_activity_ratio,0.0
